,idandtype,productname,company,grade,interest,period,default_rate,target_rate,target,review_counts,average_rate
176,1176P2PINVEST,17084채권 (생활비 목적),peoplefund,2등급,5.12,24개월,0.0,100.0,3000000,21,3.7
177,1177P2PINVEST,16657채권 (생활비 목적),peoplefund,3등급,6.29,24개월,0.0,100.0,26000000,21,3.7
178,1178P2PINVEST,17941채권 (기존 대출 전환 목적),peoplefund,5등급,10.0,24개월,0.0,100.0,12000000,21,3.7
179,1179P2PINVEST,17751채권 (기존 대출 전환 목적),peoplefund,3등급,5.52,24개월,0.0,100.0,15000000,21,3.7
180,1180P2PINVEST,포트폴리오 9호,honestfund,3.75등급,10.0,18개월,0.0,100.0,1130000000,12,4.3
181,1181P2PINVEST,펀듀 38호,fundu,해당없음,15.0,3개월,0.0,100.0,200000000,3,4.0
182,1182P2PINVEST,18040채권 (기존 대출 전환 목적),peoplefund,6등급,10.0,24개월,0.0,100.0,12000000,21,3.7
183,1183P2PINVEST,17976채권 (기존 대출 전환 목적),peoplefund,6등급,9.73,24개월,0.0,100.0,11000000,21,3.7
184,1184P2PINVEST,제35호 강원 강릉시 근린상가(배당금 담보 대출),sodit,해당없음,12.0,3개월,0.0,100.0,300000000,5,4.8
185,1185P2PINVEST,모토 일식,funda,5등급,12.0,18개월,0.0,100.0,60000000,8,4.8
186,1186P2PINVEST,경기 남양주 도곡리 덕소두산위브,together,해당없음,12.0,12개월,0.0,100.0,32000000,1,5.0
187,1187P2PINVEST,서울 양천 목동 동구햇살아파트,together,해당없음,12.0,12개월,0.0,100.0,30000000,1,5.0
188,1188P2PINVEST,펀듀 39호,fundu,해당없음,15.0,5개월,0.0,100.0,400000000,3,4.0
189,1189P2PINVEST,18339채권 (기존 대출 전환 목적),peoplefund,4등급,6.29,24개월,0.0,100.0,6000000,21,3.7
190,1190P2PINVEST,제36호 경기 화성시 정남면 공장,sodit,해당없음,14.0,8개월,0.0,100.0,250000000,5,4.8
191,1191P2PINVEST,서울 강남 도곡동 우성아파트,together,해당없음,12.0,12개월,0.0,100.0,140000000,1,5.0
192,1192P2PINVEST,18622채권 (기존 대출 전환 목적),peoplefund,5등급,7.08,24개월,0.0,100.0,6000000,21,3.7
193,1193P2PINVEST,18250채권 (생활비 목적),peoplefund,5등급,9.73,24개월,0.0,100.0,10000000,21,3.7
194,1194P2PINVEST,18067채권 (투자 목적),peoplefund,3등급,7.08,24개월,0.0,100.0,18000000,21,3.7
195,1195P2PINVEST,여의도 비어,funda,7등급,12.0,18개월,0.0,100.0,50000000,8,4.8
196,1196P2PINVEST,서울 마포 합정동 근린생활주택,together,해당없음,13.0,12개월,0.0,100.0,250000000,1,5.0
197,1197P2PINVEST,청춘아레나 콘서트 진행자금 펀딩,cso,해당없음,12.0,1개월,0.0,100.0,100000000,3,5.0
198,1198P2PINVEST,한류연예인 우표제작 자금 펀딩,cso,해당없음,14.0,2개월,0.0,100.0,300000000,3,5.0
199,1199P2PINVEST,제13차 견과류 구매자금 펀딩,cso,해당없음,12.0,6개월,0.0,100.0,400000000,3,5.0
200,1200P2PINVEST,유색보석 액세서리 담보 펀딩,cso,해당없음,12.0,2개월,0.0,100.0,72000000,3,5.0
201,1201P2PINVEST,제12차 견과류 구매자금 펀딩,cso,해당없음,12.0,2개월,0.0,100.0,400000000,3,5.0
202,1202P2PINVEST,수산물 구매자금 펀딩,cso,해당없음,12.0,1개월,0.0,100.0,50000000,3,5.0
203,1203P2PINVEST,식재료납품업체 사업자금 펀딩,cso,해당없음,13.0,3개월,0.0,100.0,100000000,3,5.0
204,1204P2PINVEST,라구나비치진 사업자금 펀딩,cso,해당없음,12.0,3개월,0.0,100.0,100000000,3,5.0
205,1205P2PINVEST,제11차 견과류 구매자금,cso,해당없음,12.0,2개월,0.0,100.0,100000000,3,5.0
206,1206P2PINVEST,명품시계 담보 펀딩,cso,해당없음,12.0,2개월,0.0,100.0,70000000,3,5.0
207,1207P2PINVEST,제10차 견과류 구매자금 펀딩,cso,해당없음,12.0,2개월,0.0,100.0,200000000,3,5.0
208,1208P2PINVEST,썸데이이프 사업자금,cso,해당없음,12.0,6개월,0.0,100.0,90000000,3,5.0
209,1209P2PINVEST,테라솔루션뱅크 사업확장 자금,cso,해당없음,11.0,18개월,0.0,100.0,150000000,3,5.0
210,1210P2PINVEST, 제 1차 순금 상품,cso,해당없음,12.0,6개월,0.0,100.0,15000000,3,5.0
211,1211P2PINVEST,귀금속 담보 펀딩,cso,해당없음,12.0,1개월,0.0,100.0,60000000,3,5.0
212,1212P2PINVEST,다이아 반지와 골드바,cso,해당없음,12.0,2개월,0.0,100.0,100000000,3,5.0
213,1213P2PINVEST,제9차 견과류 구매자금,cso,해당없음,12.0,2개월,0.0,100.0,220000000,3,5.0
214,1214P2PINVEST,제8차 견과류 구매자금,cso,해당없음,13.0,2개월,0.0,100.0,220000000,3,5.0
215,1215P2PINVEST,제6차 순금 상품,cso,해당없음,11.0,2개월,0.0,100.0,13000000,3,5.0
216,1216P2PINVEST,제4차 축산 구매자금,cso,해당없음,10.0,1개월,0.0,100.0,105000000,3,5.0
217,1217P2PINVEST,명품시계와 보석 반지,cso,해당없음,12.0,1개월,0.0,100.0,48000000,3,5.0
218,1218P2PINVEST,제2차 코코캐슈 구매자금 펀딩 ,cso,해당없음,14.0,2개월,0.0,100.0,200000000,3,5.0
219,1219P2PINVEST,코코캐슈 구매자금 펀딩,cso,해당없음,15.0,2개월,0.0,100.0,150000000,3,5.0
220,1220P2PINVEST,명품 시계 4점,cso,해당없음,12.0,3개월,0.0,100.0,46000000,3,5.0
221,1221P2PINVEST,명품 시계와 순금 상품,cso,해당없음,12.0,3개월,0.0,100.0,15000000,3,5.0
222,1222P2PINVEST,유색 보석 반지 2점,cso,해당없음,12.0,3개월,0.0,100.0,60000000,3,5.0
223,1223P2PINVEST,제7차 견과류 구매자금,cso,해당없음,13.0,1개월,0.0,100.0,150000000,3,5.0
224,1224P2PINVEST,제6차 견과류 구매자금,cso,해당없음,12.0,1개월,0.0,100.0,150000000,3,5.0
225,1225P2PINVEST,제5차 견과류 구매자금,cso,해당없음,12.0,1개월,0.0,100.0,40000000,3,5.0
226,1226P2PINVEST,제3차 축산 구매자금,cso,해당없음,10.0,1개월,0.0,100.0,106700000,3,5.0
